11:45:57.047123 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:45:57.247933 IP 10.12.100.44.55668 > 10.12.19.23.23: Flags [.], ack 3264816852, win 1024, length 0
11:45:57.247955 IP 10.12.100.44.55668 > 10.12.19.23.135: Flags [.], ack 3264816852, win 1024, length 0
11:45:57.247957 IP 10.12.100.44.55668 > 10.12.19.23.53: Flags [.], ack 3264816852, win 1024, length 0
11:45:57.247959 IP 10.12.100.44.55668 > 10.12.19.23.199: Flags [.], ack 3264816852, win 1024, length 0
11:45:57.247961 IP 10.12.100.44.55668 > 10.12.19.23.993: Flags [.], ack 3264816852, win 1024, length 0
11:45:57.248100 IP 10.12.100.44.55668 > 10.12.19.23.8080: Flags [.], ack 3264816852, win 1024, length 0
11:45:57.248107 IP 10.12.100.44.55668 > 10.12.19.23.1723: Flags [.], ack 3264816852, win 1024, length 0
11:45:57.248109 IP 10.12.100.44.55668 > 10.12.19.23.587: Flags [.], ack 3264816852, win 1024, length 0
11:45:57.248111 IP 10.12.100.44.55668 > 10.12.19.23.113: Flags [.], ack 3264816852, win 1024, length 0
11:45:57.248112 IP 10.12.100.44.55668 > 10.12.19.23.5900: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.300165 IP 10.12.100.44.55669 > 10.12.19.23.5900: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.300186 IP 10.12.100.44.55669 > 10.12.19.23.113: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.300188 IP 10.12.100.44.55669 > 10.12.19.23.587: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.300190 IP 10.12.100.44.55669 > 10.12.19.23.1723: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.300259 IP 10.12.100.44.55669 > 10.12.19.23.8080: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.300262 IP 10.12.100.44.55669 > 10.12.19.23.993: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.300264 IP 10.12.100.44.55669 > 10.12.19.23.199: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.300265 IP 10.12.100.44.55669 > 10.12.19.23.53: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.300328 IP 10.12.100.44.55669 > 10.12.19.23.135: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.300331 IP 10.12.100.44.55669 > 10.12.19.23.23: Flags [.], ack 3264751317, win 1024, length 0
11:45:58.350214 IP 10.12.100.44.55668 > 10.12.19.23.143: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.352714 IP 10.12.100.44.55668 > 10.12.19.23.21: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.352723 IP 10.12.100.44.55668 > 10.12.19.23.554: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.352725 IP 10.12.100.44.55668 > 10.12.19.23.3389: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.352727 IP 10.12.100.44.55668 > 10.12.19.23.22: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.352773 IP 10.12.100.44.55668 > 10.12.19.23.110: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.352776 IP 10.12.100.44.55668 > 10.12.19.23.8888: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.352778 IP 10.12.100.44.55668 > 10.12.19.23.256: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.352818 IP 10.12.100.44.55668 > 10.12.19.23.995: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.352859 IP 10.12.100.44.55668 > 10.12.19.23.3306: Flags [.], ack 3264816852, win 1024, length 0
11:45:58.400857 IP 10.12.100.44.55669 > 10.12.19.23.143: Flags [.], ack 3264751317, win 1024, length 0
