11:43:17.422001 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:43:17.622822 IP 10.12.100.44.64486 > 10.12.19.23.3306: Flags [F], seq 2219911413, win 1024, length 0
11:43:17.622864 IP 10.12.100.44.64486 > 10.12.19.23.113: Flags [F], seq 2219911413, win 1024, length 0
11:43:17.622866 IP 10.12.100.44.64486 > 10.12.19.23.21: Flags [F], seq 2219911413, win 1024, length 0
11:43:17.622867 IP 10.12.100.44.64486 > 10.12.19.23.1720: Flags [F], seq 2219911413, win 1024, length 0
11:43:17.622944 IP 10.12.100.44.64486 > 10.12.19.23.587: Flags [F], seq 2219911413, win 1024, length 0
11:43:17.622946 IP 10.12.100.44.64486 > 10.12.19.23.8888: Flags [F], seq 2219911413, win 1024, length 0
11:43:17.622947 IP 10.12.100.44.64486 > 10.12.19.23.5900: Flags [F], seq 2219911413, win 1024, length 0
11:43:17.623010 IP 10.12.100.44.64486 > 10.12.19.23.1025: Flags [F], seq 2219911413, win 1024, length 0
11:43:17.623013 IP 10.12.100.44.64486 > 10.12.19.23.143: Flags [F], seq 2219911413, win 1024, length 0
11:43:17.623082 IP 10.12.100.44.64486 > 10.12.19.23.995: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.674878 IP 10.12.100.44.64487 > 10.12.19.23.995: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.674897 IP 10.12.100.44.64487 > 10.12.19.23.143: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.674898 IP 10.12.100.44.64487 > 10.12.19.23.1025: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.674899 IP 10.12.100.44.64487 > 10.12.19.23.5900: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.674900 IP 10.12.100.44.64487 > 10.12.19.23.8888: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.674955 IP 10.12.100.44.64487 > 10.12.19.23.587: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.674958 IP 10.12.100.44.64487 > 10.12.19.23.1720: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.674959 IP 10.12.100.44.64487 > 10.12.19.23.21: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.675075 IP 10.12.100.44.64487 > 10.12.19.23.113: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.675080 IP 10.12.100.44.64487 > 10.12.19.23.3306: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.725125 IP 10.12.100.44.64486 > 10.12.19.23.53: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.725144 IP 10.12.100.44.64486 > 10.12.19.23.25: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.725145 IP 10.12.100.44.64486 > 10.12.19.23.80: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.725150 IP 10.12.100.44.64486 > 10.12.19.23.256: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.725151 IP 10.12.100.44.64486 > 10.12.19.23.554: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.725152 IP 10.12.100.44.64486 > 10.12.19.23.8080: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.725234 IP 10.12.100.44.64486 > 10.12.19.23.993: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.725236 IP 10.12.100.44.64486 > 10.12.19.23.110: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.727825 IP 10.12.100.44.64486 > 10.12.19.23.1723: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.727834 IP 10.12.100.44.64486 > 10.12.19.23.135: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.775390 IP 10.12.100.44.64487 > 10.12.19.23.110: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.775408 IP 10.12.100.44.64487 > 10.12.19.23.993: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.775409 IP 10.12.100.44.64487 > 10.12.19.23.8080: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.775411 IP 10.12.100.44.64487 > 10.12.19.23.554: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.775452 IP 10.12.100.44.64487 > 10.12.19.23.256: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.775454 IP 10.12.100.44.64487 > 10.12.19.23.80: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.775458 IP 10.12.100.44.64487 > 10.12.19.23.25: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.775559 IP 10.12.100.44.64487 > 10.12.19.23.53: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.778152 IP 10.12.100.44.64487 > 10.12.19.23.135: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.778157 IP 10.12.100.44.64487 > 10.12.19.23.1723: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.826288 IP 10.12.100.44.64486 > 10.12.19.23.199: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.826305 IP 10.12.100.44.64486 > 10.12.19.23.23: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.826306 IP 10.12.100.44.64486 > 10.12.19.23.3389: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.826307 IP 10.12.100.44.64486 > 10.12.19.23.443: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.826332 IP 10.12.100.44.64486 > 10.12.19.23.139: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.826414 IP 10.12.100.44.64486 > 10.12.19.23.111: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.826417 IP 10.12.100.44.64486 > 10.12.19.23.445: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.826418 IP 10.12.100.44.64486 > 10.12.19.23.22: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.828874 IP 10.12.100.44.64486 > 10.12.19.23.1947: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.828904 IP 10.12.100.44.64486 > 10.12.19.23.5544: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.877416 IP 10.12.100.44.64487 > 10.12.19.23.22: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.877445 IP 10.12.100.44.64487 > 10.12.19.23.445: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.877459 IP 10.12.100.44.64487 > 10.12.19.23.111: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.877460 IP 10.12.100.44.64487 > 10.12.19.23.139: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.877503 IP 10.12.100.44.64487 > 10.12.19.23.443: Flags [F], seq 2219845876, win 1024, length 0
