11:42:39.704750 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:42:39.905350 IP 10.12.100.44.38344 > 10.12.19.23.1720: Flags [none], win 1024, length 0
11:42:39.905369 IP 10.12.100.44.38344 > 10.12.19.23.256: Flags [none], win 1024, length 0
11:42:39.905370 IP 10.12.100.44.38344 > 10.12.19.23.80: Flags [none], win 1024, length 0
11:42:39.905386 IP 10.12.100.44.38344 > 10.12.19.23.8080: Flags [none], win 1024, length 0
11:42:39.905388 IP 10.12.100.44.38344 > 10.12.19.23.53: Flags [none], win 1024, length 0
11:42:39.905389 IP 10.12.100.44.38344 > 10.12.19.23.3389: Flags [none], win 1024, length 0
11:42:39.905432 IP 10.12.100.44.38344 > 10.12.19.23.8888: Flags [none], win 1024, length 0
11:42:39.905434 IP 10.12.100.44.38344 > 10.12.19.23.110: Flags [none], win 1024, length 0
11:42:39.905435 IP 10.12.100.44.38344 > 10.12.19.23.111: Flags [none], win 1024, length 0
11:42:39.905555 IP 10.12.100.44.38344 > 10.12.19.23.22: Flags [none], win 1024, length 0
11:42:40.957910 IP 10.12.100.44.38345 > 10.12.19.23.22: Flags [none], win 1024, length 0
11:42:40.957929 IP 10.12.100.44.38345 > 10.12.19.23.111: Flags [none], win 1024, length 0
11:42:40.957930 IP 10.12.100.44.38345 > 10.12.19.23.110: Flags [none], win 1024, length 0
11:42:40.957931 IP 10.12.100.44.38345 > 10.12.19.23.8888: Flags [none], win 1024, length 0
11:42:40.957932 IP 10.12.100.44.38345 > 10.12.19.23.3389: Flags [none], win 1024, length 0
11:42:40.957933 IP 10.12.100.44.38345 > 10.12.19.23.53: Flags [none], win 1024, length 0
11:42:40.958037 IP 10.12.100.44.38345 > 10.12.19.23.8080: Flags [none], win 1024, length 0
11:42:40.958055 IP 10.12.100.44.38345 > 10.12.19.23.80: Flags [none], win 1024, length 0
11:42:40.958137 IP 10.12.100.44.38345 > 10.12.19.23.256: Flags [none], win 1024, length 0
11:42:40.958139 IP 10.12.100.44.38345 > 10.12.19.23.1720: Flags [none], win 1024, length 0
11:42:41.009186 IP 10.12.100.44.38344 > 10.12.19.23.1025: Flags [none], win 1024, length 0
11:42:41.009204 IP 10.12.100.44.38344 > 10.12.19.23.5900: Flags [none], win 1024, length 0
11:42:41.009206 IP 10.12.100.44.38344 > 10.12.19.23.3306: Flags [none], win 1024, length 0
11:42:41.009207 IP 10.12.100.44.38344 > 10.12.19.23.135: Flags [none], win 1024, length 0
11:42:41.009208 IP 10.12.100.44.38344 > 10.12.19.23.587: Flags [none], win 1024, length 0
11:42:41.009288 IP 10.12.100.44.38344 > 10.12.19.23.199: Flags [none], win 1024, length 0
11:42:41.009291 IP 10.12.100.44.38344 > 10.12.19.23.443: Flags [none], win 1024, length 0
11:42:41.009346 IP 10.12.100.44.38344 > 10.12.19.23.993: Flags [none], win 1024, length 0
11:42:41.009348 IP 10.12.100.44.38344 > 10.12.19.23.139: Flags [none], win 1024, length 0
11:42:41.009349 IP 10.12.100.44.38344 > 10.12.19.23.23: Flags [none], win 1024, length 0
11:42:41.059820 IP 10.12.100.44.38345 > 10.12.19.23.23: Flags [none], win 1024, length 0
11:42:41.059839 IP 10.12.100.44.38345 > 10.12.19.23.139: Flags [none], win 1024, length 0
11:42:41.059841 IP 10.12.100.44.38345 > 10.12.19.23.993: Flags [none], win 1024, length 0
11:42:41.059842 IP 10.12.100.44.38345 > 10.12.19.23.443: Flags [none], win 1024, length 0
11:42:41.059896 IP 10.12.100.44.38345 > 10.12.19.23.199: Flags [none], win 1024, length 0
11:42:41.059898 IP 10.12.100.44.38345 > 10.12.19.23.587: Flags [none], win 1024, length 0
11:42:41.059899 IP 10.12.100.44.38345 > 10.12.19.23.135: Flags [none], win 1024, length 0
11:42:41.059987 IP 10.12.100.44.38345 > 10.12.19.23.3306: Flags [none], win 1024, length 0
11:42:41.060076 IP 10.12.100.44.38345 > 10.12.19.23.5900: Flags [none], win 1024, length 0
11:42:41.060078 IP 10.12.100.44.38345 > 10.12.19.23.1025: Flags [none], win 1024, length 0
11:42:42.114698 IP 10.12.100.44.38346 > 10.12.19.23.1025: Flags [none], win 1024, length 0
11:42:42.114715 IP 10.12.100.44.38346 > 10.12.19.23.5900: Flags [none], win 1024, length 0
11:42:42.114717 IP 10.12.100.44.38346 > 10.12.19.23.3306: Flags [none], win 1024, length 0
11:42:42.114718 IP 10.12.100.44.38346 > 10.12.19.23.135: Flags [none], win 1024, length 0
11:42:42.114773 IP 10.12.100.44.38346 > 10.12.19.23.587: Flags [none], win 1024, length 0
11:42:42.114776 IP 10.12.100.44.38346 > 10.12.19.23.199: Flags [none], win 1024, length 0
11:42:42.114777 IP 10.12.100.44.38346 > 10.12.19.23.993: Flags [none], win 1024, length 0
11:42:42.114835 IP 10.12.100.44.38346 > 10.12.19.23.139: Flags [none], win 1024, length 0
11:42:42.165247 IP 10.12.100.44.38346 > 10.12.19.23.23: Flags [none], win 1024, length 0
11:42:42.165258 IP 10.12.100.44.38346 > 10.12.19.23.1720: Flags [none], win 1024, length 0
11:42:42.165259 IP 10.12.100.44.38346 > 10.12.19.23.256: Flags [none], win 1024, length 0
11:42:42.165301 IP 10.12.100.44.38346 > 10.12.19.23.80: Flags [none], win 1024, length 0
11:42:42.165306 IP 10.12.100.44.38346 > 10.12.19.23.8080: Flags [none], win 1024, length 0
11:42:42.165308 IP 10.12.100.44.38346 > 10.12.19.23.53: Flags [none], win 1024, length 0
11:42:42.165431 IP 10.12.100.44.38346 > 10.12.19.23.3389: Flags [none], win 1024, length 0
11:42:42.165437 IP 10.12.100.44.38346 > 10.12.19.23.8888: Flags [none], win 1024, length 0
11:42:42.215643 IP 10.12.100.44.38346 > 10.12.19.23.110: Flags [none], win 1024, length 0
11:42:42.215660 IP 10.12.100.44.38346 > 10.12.19.23.111: Flags [none], win 1024, length 0
11:42:42.215662 IP 10.12.100.44.38346 > 10.12.19.23.22: Flags [none], win 1024, length 0
11:42:42.215663 IP 10.12.100.44.38344 > 10.12.19.23.113: Flags [none], win 1024, length 0
11:42:42.215664 IP 10.12.100.44.38344 > 10.12.19.23.445: Flags [none], win 1024, length 0
11:42:42.215666 IP 10.12.100.44.38344 > 10.12.19.23.143: Flags [none], win 1024, length 0
11:42:42.215667 IP 10.12.100.44.38344 > 10.12.19.23.21: Flags [none], win 1024, length 0
11:42:42.215668 IP 10.12.100.44.38344 > 10.12.19.23.1723: Flags [none], win 1024, length 0
11:42:42.266732 IP 10.12.100.44.38345 > 10.12.19.23.1723: Flags [none], win 1024, length 0
