11:44:14.061309 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:44:14.261706 IP 10.12.100.44.45007 > 10.12.19.23.1720: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:14.261724 IP 10.12.100.44.45007 > 10.12.19.23.1723: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:14.261725 IP 10.12.100.44.45007 > 10.12.19.23.139: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:14.261726 IP 10.12.100.44.45007 > 10.12.19.23.80: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:14.261731 IP 10.12.100.44.45007 > 10.12.19.23.587: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:14.261744 IP 10.12.100.44.45007 > 10.12.19.23.143: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:14.261799 IP 10.12.100.44.45007 > 10.12.19.23.993: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:14.261802 IP 10.12.100.44.45007 > 10.12.19.23.1025: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:14.261803 IP 10.12.100.44.45007 > 10.12.19.23.22: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:14.261877 IP 10.12.100.44.45007 > 10.12.19.23.199: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.313477 IP 10.12.100.44.45008 > 10.12.19.23.199: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.313522 IP 10.12.100.44.45008 > 10.12.19.23.22: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.313524 IP 10.12.100.44.45008 > 10.12.19.23.1025: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.313525 IP 10.12.100.44.45008 > 10.12.19.23.993: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.313526 IP 10.12.100.44.45008 > 10.12.19.23.143: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.313527 IP 10.12.100.44.45008 > 10.12.19.23.587: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.313643 IP 10.12.100.44.45008 > 10.12.19.23.80: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.313649 IP 10.12.100.44.45008 > 10.12.19.23.139: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.313650 IP 10.12.100.44.45008 > 10.12.19.23.1723: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.313724 IP 10.12.100.44.45008 > 10.12.19.23.1720: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.363653 IP 10.12.100.44.45007 > 10.12.19.23.25: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.363661 IP 10.12.100.44.45007 > 10.12.19.23.8080: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.363663 IP 10.12.100.44.45007 > 10.12.19.23.21: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.363725 IP 10.12.100.44.45007 > 10.12.19.23.3306: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.363740 IP 10.12.100.44.45007 > 10.12.19.23.5900: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.363741 IP 10.12.100.44.45007 > 10.12.19.23.23: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.363742 IP 10.12.100.44.45007 > 10.12.19.23.53: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.366337 IP 10.12.100.44.45007 > 10.12.19.23.443: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.366378 IP 10.12.100.44.45007 > 10.12.19.23.3389: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.366380 IP 10.12.100.44.45007 > 10.12.19.23.110: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:15.413990 IP 10.12.100.44.45008 > 10.12.19.23.53: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.414004 IP 10.12.100.44.45008 > 10.12.19.23.23: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.414005 IP 10.12.100.44.45008 > 10.12.19.23.5900: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.414006 IP 10.12.100.44.45008 > 10.12.19.23.3306: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.414051 IP 10.12.100.44.45008 > 10.12.19.23.21: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.414053 IP 10.12.100.44.45008 > 10.12.19.23.8080: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.414054 IP 10.12.100.44.45008 > 10.12.19.23.25: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.416805 IP 10.12.100.44.45008 > 10.12.19.23.110: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.416812 IP 10.12.100.44.45008 > 10.12.19.23.3389: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:15.416813 IP 10.12.100.44.45008 > 10.12.19.23.443: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.468076 IP 10.12.100.44.45009 > 10.12.19.23.3389: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.468094 IP 10.12.100.44.45009 > 10.12.19.23.110: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.468095 IP 10.12.100.44.45009 > 10.12.19.23.25: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.468096 IP 10.12.100.44.45009 > 10.12.19.23.8080: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.468097 IP 10.12.100.44.45009 > 10.12.19.23.21: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.468144 IP 10.12.100.44.45009 > 10.12.19.23.3306: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.468147 IP 10.12.100.44.45009 > 10.12.19.23.5900: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.468147 IP 10.12.100.44.45009 > 10.12.19.23.23: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.518204 IP 10.12.100.44.45009 > 10.12.19.23.53: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.518222 IP 10.12.100.44.45009 > 10.12.19.23.1720: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.518224 IP 10.12.100.44.45009 > 10.12.19.23.1723: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.518225 IP 10.12.100.44.45009 > 10.12.19.23.139: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.520747 IP 10.12.100.44.45009 > 10.12.19.23.80: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.520757 IP 10.12.100.44.45009 > 10.12.19.23.587: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.520759 IP 10.12.100.44.45009 > 10.12.19.23.143: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.520760 IP 10.12.100.44.45009 > 10.12.19.23.993: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.568771 IP 10.12.100.44.45009 > 10.12.19.23.1025: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.568799 IP 10.12.100.44.45009 > 10.12.19.23.22: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.568801 IP 10.12.100.44.45009 > 10.12.19.23.199: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.568802 IP 10.12.100.44.45007 > 10.12.19.23.135: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.571230 IP 10.12.100.44.45007 > 10.12.19.23.111: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.571237 IP 10.12.100.44.45007 > 10.12.19.23.995: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.571239 IP 10.12.100.44.45007 > 10.12.19.23.554: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.571240 IP 10.12.100.44.45007 > 10.12.19.23.445: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.619431 IP 10.12.100.44.45008 > 10.12.19.23.135: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.619481 IP 10.12.100.44.45007 > 10.12.19.23.113: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.619482 IP 10.12.100.44.45007 > 10.12.19.23.8888: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.619483 IP 10.12.100.44.45007 > 10.12.19.23.256: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.621952 IP 10.12.100.44.45008 > 10.12.19.23.445: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.621959 IP 10.12.100.44.45008 > 10.12.19.23.554: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.621960 IP 10.12.100.44.45008 > 10.12.19.23.995: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.621961 IP 10.12.100.44.45008 > 10.12.19.23.111: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.670040 IP 10.12.100.44.45010 > 10.12.19.23.443: Flags [FPU], seq 3726981969, win 1024, urg 0, length 0
11:44:16.670083 IP 10.12.100.44.45008 > 10.12.19.23.256: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.670085 IP 10.12.100.44.45008 > 10.12.19.23.8888: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.670086 IP 10.12.100.44.45008 > 10.12.19.23.113: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.672526 IP 10.12.100.44.45009 > 10.12.19.23.111: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.672533 IP 10.12.100.44.45009 > 10.12.19.23.995: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.672534 IP 10.12.100.44.45009 > 10.12.19.23.554: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.672625 IP 10.12.100.44.45009 > 10.12.19.23.445: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.722971 IP 10.12.100.44.45009 > 10.12.19.23.113: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.773277 IP 10.12.100.44.45009 > 10.12.19.23.8888: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.824268 IP 10.12.100.44.45009 > 10.12.19.23.256: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.876668 IP 10.12.100.44.45009 > 10.12.19.23.135: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
