16:20:31.648147 IP6 fe80::4f1:2841:3634:7344 > ff02::2: ICMP6, router solicitation, length 16
16:20:32.899550 IP 10.12.5.2.5353 > 224.0.0.251.5353: 0 [14q] [1au] PTR (QM)? _airport._tcp.local. PTR (QM)? _googlecast._tcp.local. PTR (QM)? _airplay._tcp.local. PTR (QM)? _raop._tcp.local. PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (246)
16:20:32.899569 IP6 fe80::10dd:2073:d7f6:c153.5353 > ff02::fb.5353: 0 [14q] [1au] PTR (QM)? _airport._tcp.local. PTR (QM)? _googlecast._tcp.local. PTR (QM)? _airplay._tcp.local. PTR (QM)? _raop._tcp.local. PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (246)
16:20:33.075160 IP 10.12.10.1.57621 > 10.12.255.255.57621: UDP, length 44
16:20:33.986259 IP 10.12.254.254 > 224.0.0.1: igmp query v2
16:20:34.609212 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:20:34.609244 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:20:34.810106 IP 10.12.100.171.35883 > 10.12.19.23.23: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.810152 IP 10.12.100.171.35883 > 10.12.19.23.554: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.810153 IP 10.12.100.171.35883 > 10.12.19.23.111: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.810219 IP 10.12.100.171.35883 > 10.12.19.23.22: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.810221 IP 10.12.100.171.35883 > 10.12.19.23.199: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.810222 IP 10.12.100.171.35883 > 10.12.19.23.443: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.810266 IP 10.12.19.23.443 > 10.12.100.171.35883: Flags [R.], seq 0, ack 3166827745, win 0, length 0
16:20:34.810333 IP 10.12.100.171.35883 > 10.12.19.23.135: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.810335 IP 10.12.100.171.35883 > 10.12.19.23.5900: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.810336 IP 10.12.100.171.35883 > 10.12.19.23.139: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.810484 IP 10.12.100.171.35883 > 10.12.19.23.1025: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:34.936347 IP 10.12.254.254 > 224.0.0.13: PIMv2, Hello, length 30
16:20:34.985115 IP 10.12.5.11 > 224.0.0.251: igmp v2 report 224.0.0.251
16:20:35.864841 IP 10.12.100.171.35884 > 10.12.19.23.1025: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.864859 IP 10.12.100.171.35884 > 10.12.19.23.139: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.864860 IP 10.12.100.171.35884 > 10.12.19.23.5900: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.864861 IP 10.12.100.171.35884 > 10.12.19.23.135: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.864952 IP 10.12.100.171.35884 > 10.12.19.23.199: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.864955 IP 10.12.100.171.35884 > 10.12.19.23.22: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.864956 IP 10.12.100.171.35884 > 10.12.19.23.111: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.865060 IP 10.12.100.171.35884 > 10.12.19.23.554: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.865126 IP 10.12.100.171.35884 > 10.12.19.23.23: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.865189 IP 10.12.100.171.35883 > 10.12.19.23.8080: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.865254 IP 10.12.100.171.35883 > 10.12.19.23.3389: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.865332 IP 10.12.100.171.35883 > 10.12.19.23.993: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.865396 IP 10.12.100.171.35883 > 10.12.19.23.256: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.865461 IP 10.12.100.171.35883 > 10.12.19.23.25: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.915616 IP 10.12.100.171.35884 > 10.12.19.23.25: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.915632 IP 10.12.100.171.35884 > 10.12.19.23.256: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.915634 IP 10.12.100.171.35884 > 10.12.19.23.993: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.915635 IP 10.12.100.171.35884 > 10.12.19.23.3389: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.915715 IP 10.12.100.171.35884 > 10.12.19.23.8080: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.915717 IP 10.12.100.171.35883 > 10.12.19.23.1720: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.915718 IP 10.12.100.171.35883 > 10.12.19.23.8888: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.915799 IP 10.12.100.171.35883 > 10.12.19.23.110: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.915801 IP 10.12.100.171.35883 > 10.12.19.23.1723: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.915931 IP 10.12.100.171.35883 > 10.12.19.23.21: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.915936 IP 10.12.100.171.35883 > 10.12.19.23.53: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.915937 IP 10.12.100.171.35883 > 10.12.19.23.80: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.915942 IP 10.12.100.171.35883 > 10.12.19.23.113: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.915986 IP 10.12.100.171.35883 > 10.12.19.23.143: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.966279 IP 10.12.100.171.35884 > 10.12.19.23.143: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.966285 IP 10.12.100.171.35884 > 10.12.19.23.113: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.966286 IP 10.12.100.171.35884 > 10.12.19.23.80: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.966334 IP 10.12.100.171.35884 > 10.12.19.23.53: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.966337 IP 10.12.100.171.35884 > 10.12.19.23.21: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.966338 IP 10.12.100.171.35884 > 10.12.19.23.1723: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.966339 IP 10.12.100.171.35884 > 10.12.19.23.110: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.966452 IP 10.12.100.171.35884 > 10.12.19.23.8888: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.966459 IP 10.12.100.171.35884 > 10.12.19.23.1720: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:35.966460 IP 10.12.100.171.35883 > 10.12.19.23.995: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.966461 IP 10.12.100.171.35883 > 10.12.19.23.3306: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.966461 IP 10.12.100.171.35883 > 10.12.19.23.587: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.966506 IP 10.12.100.171.35883 > 10.12.19.23.445: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:35.966508 IP 10.12.100.171.35883 > 10.12.19.23.2021: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.016816 IP 10.12.100.171.35884 > 10.12.19.23.2021: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.016846 IP 10.12.100.171.35884 > 10.12.19.23.445: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.016847 IP 10.12.100.171.35884 > 10.12.19.23.587: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.016848 IP 10.12.100.171.35884 > 10.12.19.23.3306: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.016965 IP 10.12.100.171.35884 > 10.12.19.23.995: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.016968 IP 10.12.100.171.35883 > 10.12.19.23.2030: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.016969 IP 10.12.100.171.35883 > 10.12.19.23.21571: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.016970 IP 10.12.100.171.35883 > 10.12.19.23.15004: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.017090 IP 10.12.100.171.35883 > 10.12.19.23.7443: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.017110 IP 10.12.100.171.35883 > 10.12.19.23.8290: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.017111 IP 10.12.100.171.35883 > 10.12.19.23.1434: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.017112 IP 10.12.100.171.35883 > 10.12.19.23.4005: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.017113 IP 10.12.100.171.35883 > 10.12.19.23.3551: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.017171 IP 10.12.100.171.35883 > 10.12.19.23.3851: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.067791 IP 10.12.100.171.35886 > 10.12.19.23.443: Flags [FPU], seq 3183605216, win 1024, urg 0, length 0
16:20:36.067865 IP 10.12.19.23.443 > 10.12.100.171.35886: Flags [R.], seq 0, ack 3183605217, win 0, length 0
16:20:36.067877 IP 10.12.100.171.35884 > 10.12.19.23.3851: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.067879 IP 10.12.100.171.35884 > 10.12.19.23.3551: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.067880 IP 10.12.100.171.35884 > 10.12.19.23.4005: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.067880 IP 10.12.100.171.35884 > 10.12.19.23.1434: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.067881 IP 10.12.100.171.35884 > 10.12.19.23.8290: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.067968 IP 10.12.100.171.35884 > 10.12.19.23.7443: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.067970 IP 10.12.100.171.35884 > 10.12.19.23.15004: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.067971 IP 10.12.100.171.35884 > 10.12.19.23.21571: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.068061 IP 10.12.100.171.35884 > 10.12.19.23.2030: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.068063 IP 10.12.100.171.35883 > 10.12.19.23.42: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.068103 IP 10.12.100.171.35883 > 10.12.19.23.8093: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.068134 IP 10.12.100.171.35883 > 10.12.19.23.1010: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.068136 IP 10.12.100.171.35883 > 10.12.19.23.106: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.120391 IP 10.12.100.171.35884 > 10.12.19.23.106: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.170413 IP 10.12.100.171.35884 > 10.12.19.23.1010: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.223201 IP 10.12.100.171.35884 > 10.12.19.23.8093: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.223218 IP 10.12.100.171.35884 > 10.12.19.23.42: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.223219 IP 10.12.100.171.35883 > 10.12.19.23.3826: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.223270 IP 10.12.100.171.35883 > 10.12.19.23.407: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.223272 IP 10.12.100.171.35883 > 10.12.19.23.1079: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.223273 IP 10.12.100.171.35883 > 10.12.19.23.8045: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.223313 IP 10.12.100.171.35883 > 10.12.19.23.616: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.223315 IP 10.12.100.171.35883 > 10.12.19.23.1122: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.223316 IP 10.12.100.171.35883 > 10.12.19.23.125: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.223317 IP 10.12.100.171.35883 > 10.12.19.23.8800: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.273605 IP 10.12.100.171.35884 > 10.12.19.23.8800: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
