16:21:46.185930 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:21:46.185980 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:21:46.386778 IP 10.12.100.171.43770 > 10.12.19.23.8888: Flags [.], ack 4201513115, win 1024, length 0
16:21:46.386832 IP 10.12.100.171.43770 > 10.12.19.23.445: Flags [.], ack 4201513115, win 1024, length 0
16:21:46.386834 IP 10.12.100.171.43770 > 10.12.19.23.5900: Flags [.], ack 4201513115, win 1024, length 0
16:21:46.386835 IP 10.12.100.171.43770 > 10.12.19.23.1720: Flags [.], ack 4201513115, win 1024, length 0
16:21:46.386837 IP 10.12.100.171.43770 > 10.12.19.23.111: Flags [.], ack 4201513115, win 1024, length 0
16:21:46.386838 IP 10.12.100.171.43770 > 10.12.19.23.110: Flags [.], ack 4201513115, win 1024, length 0
16:21:46.386840 IP 10.12.100.171.43770 > 10.12.19.23.21: Flags [.], ack 4201513115, win 1024, length 0
16:21:46.386841 IP 10.12.100.171.43770 > 10.12.19.23.25: Flags [.], ack 4201513115, win 1024, length 0
16:21:46.386893 IP 10.12.100.171.43770 > 10.12.19.23.3306: Flags [.], ack 4201513115, win 1024, length 0
16:21:46.386897 IP 10.12.100.171.43770 > 10.12.19.23.1025: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.438848 IP 10.12.100.171.43771 > 10.12.19.23.1025: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.438871 IP 10.12.100.171.43771 > 10.12.19.23.3306: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.438873 IP 10.12.100.171.43771 > 10.12.19.23.25: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.438874 IP 10.12.100.171.43771 > 10.12.19.23.21: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.438876 IP 10.12.100.171.43771 > 10.12.19.23.110: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.438877 IP 10.12.100.171.43771 > 10.12.19.23.111: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.438981 IP 10.12.100.171.43771 > 10.12.19.23.1720: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.438984 IP 10.12.100.171.43771 > 10.12.19.23.5900: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.438986 IP 10.12.100.171.43771 > 10.12.19.23.445: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.439057 IP 10.12.100.171.43771 > 10.12.19.23.8888: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.490065 IP 10.12.100.171.43770 > 10.12.19.23.443: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.490097 IP 10.12.19.23.443 > 10.12.100.171.43770: Flags [R], seq 4201513115, win 0, length 0
16:21:47.490111 IP 10.12.100.171.43770 > 10.12.19.23.8080: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.490115 IP 10.12.100.171.43770 > 10.12.19.23.53: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.490116 IP 10.12.100.171.43770 > 10.12.19.23.135: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.490118 IP 10.12.100.171.43770 > 10.12.19.23.80: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.490139 IP 10.12.19.23.80 > 10.12.100.171.43770: Flags [R], seq 4201513115, win 0, length 0
16:21:47.490148 IP 10.12.100.171.43770 > 10.12.19.23.587: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.490150 IP 10.12.100.171.43770 > 10.12.19.23.995: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.490152 IP 10.12.100.171.43770 > 10.12.19.23.23: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.490154 IP 10.12.100.171.43770 > 10.12.19.23.554: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.490277 IP 10.12.100.171.43770 > 10.12.19.23.256: Flags [.], ack 4201513115, win 1024, length 0
16:21:47.540262 IP 10.12.100.171.43771 > 10.12.19.23.23: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.540270 IP 10.12.100.171.43771 > 10.12.19.23.995: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.540272 IP 10.12.100.171.43771 > 10.12.19.23.587: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.540273 IP 10.12.100.171.43771 > 10.12.19.23.80: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.540282 IP 10.12.19.23.80 > 10.12.100.171.43771: Flags [R], seq 4201578650, win 0, length 0
16:21:47.540292 IP 10.12.100.171.43771 > 10.12.19.23.135: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.540382 IP 10.12.100.171.43771 > 10.12.19.23.53: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.540385 IP 10.12.100.171.43771 > 10.12.19.23.8080: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.540426 IP 10.12.100.171.43771 > 10.12.19.23.443: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.540447 IP 10.12.19.23.443 > 10.12.100.171.43771: Flags [R], seq 4201578650, win 0, length 0
16:21:47.542806 IP 10.12.100.171.43771 > 10.12.19.23.256: Flags [.], ack 4201578650, win 1024, length 0
16:21:47.542814 IP 10.12.100.171.43771 > 10.12.19.23.554: Flags [.], ack 4201578650, win 1024, length 0
16:21:48.594777 IP 10.12.100.171.43772 > 10.12.19.23.554: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.594800 IP 10.12.100.171.43772 > 10.12.19.23.256: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.594802 IP 10.12.100.171.43772 > 10.12.19.23.8080: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.594803 IP 10.12.100.171.43772 > 10.12.19.23.53: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.594805 IP 10.12.100.171.43772 > 10.12.19.23.135: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.594806 IP 10.12.100.171.43772 > 10.12.19.23.587: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.594808 IP 10.12.100.171.43772 > 10.12.19.23.995: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.594871 IP 10.12.100.171.43772 > 10.12.19.23.23: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.594875 IP 10.12.100.171.43772 > 10.12.19.23.8888: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.594876 IP 10.12.100.171.43772 > 10.12.19.23.445: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.644953 IP 10.12.100.171.43772 > 10.12.19.23.5900: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.644962 IP 10.12.100.171.43772 > 10.12.19.23.1720: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645001 IP 10.12.100.171.43772 > 10.12.19.23.111: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645004 IP 10.12.100.171.43772 > 10.12.19.23.110: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645006 IP 10.12.100.171.43772 > 10.12.19.23.21: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645007 IP 10.12.100.171.43772 > 10.12.19.23.25: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.645091 IP 10.12.100.171.43772 > 10.12.19.23.3306: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.647607 IP 10.12.100.171.43772 > 10.12.19.23.1025: Flags [.], ack 4201382041, win 1024, length 0
16:21:48.647629 IP 10.12.100.171.43770 > 10.12.19.23.143: Flags [.], ack 4201513115, win 1024, length 0
