16:18:56.442910 IP 10.12.10.1.5353 > 224.0.0.251.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:56.442937 IP6 fe80::10ff:9e5:978:2f7e.5353 > ff02::fb.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:57.402921 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:18:57.962921 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:18:57.962936 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:18:58.163645 IP 10.12.100.171.44369 > 10.12.19.23.22: Flags [none], win 1024, length 0
16:18:58.163662 IP 10.12.100.171.44369 > 10.12.19.23.5900: Flags [none], win 1024, length 0
16:18:58.163664 IP 10.12.100.171.44369 > 10.12.19.23.256: Flags [none], win 1024, length 0
16:18:58.163664 IP 10.12.100.171.44369 > 10.12.19.23.554: Flags [none], win 1024, length 0
16:18:58.163665 IP 10.12.100.171.44369 > 10.12.19.23.8888: Flags [none], win 1024, length 0
16:18:58.163705 IP 10.12.100.171.44369 > 10.12.19.23.993: Flags [none], win 1024, length 0
16:18:58.163708 IP 10.12.100.171.44369 > 10.12.19.23.25: Flags [none], win 1024, length 0
16:18:58.163708 IP 10.12.100.171.44369 > 10.12.19.23.80: Flags [none], win 1024, length 0
16:18:58.163859 IP 10.12.100.171.44369 > 10.12.19.23.8080: Flags [none], win 1024, length 0
16:18:58.163864 IP 10.12.100.171.44369 > 10.12.19.23.1025: Flags [none], win 1024, length 0
16:18:59.214439 IP 10.12.100.171.44370 > 10.12.19.23.1025: Flags [none], win 1024, length 0
