11:36:23.874227 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:36:24.074754 IP 10.12.100.44.64912 > 10.12.19.23.1025: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:24.074781 IP 10.12.100.44.64912 > 10.12.19.23.3389: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:24.074783 IP 10.12.100.44.64912 > 10.12.19.23.995: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:24.074785 IP 10.12.100.44.64912 > 10.12.19.23.143: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:24.074786 IP 10.12.100.44.64912 > 10.12.19.23.113: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:24.074788 IP 10.12.100.44.64912 > 10.12.19.23.8888: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:24.074872 IP 10.12.100.44.64912 > 10.12.19.23.25: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:24.074876 IP 10.12.100.44.64912 > 10.12.19.23.554: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:24.074878 IP 10.12.100.44.64912 > 10.12.19.23.111: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:24.074879 IP 10.12.100.44.64912 > 10.12.19.23.8080: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.126172 IP 10.12.100.44.64913 > 10.12.19.23.8080: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.126221 IP 10.12.100.44.64913 > 10.12.19.23.111: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.126223 IP 10.12.100.44.64913 > 10.12.19.23.554: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.126225 IP 10.12.100.44.64913 > 10.12.19.23.25: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.126226 IP 10.12.100.44.64913 > 10.12.19.23.8888: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.126350 IP 10.12.100.44.64913 > 10.12.19.23.113: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.126369 IP 10.12.100.44.64913 > 10.12.19.23.143: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.126370 IP 10.12.100.44.64913 > 10.12.19.23.995: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.126439 IP 10.12.100.44.64913 > 10.12.19.23.3389: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.126442 IP 10.12.100.44.64913 > 10.12.19.23.1025: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.176424 IP 10.12.100.44.64912 > 10.12.19.23.445: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.176437 IP 10.12.100.44.64912 > 10.12.19.23.135: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.176439 IP 10.12.100.44.64912 > 10.12.19.23.443: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.176463 IP 10.12.100.44.64912 > 10.12.19.23.1723: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.176557 IP 10.12.100.44.64912 > 10.12.19.23.139: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.176561 IP 10.12.100.44.64912 > 10.12.19.23.256: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.179096 IP 10.12.100.44.64912 > 10.12.19.23.5900: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.179105 IP 10.12.100.44.64912 > 10.12.19.23.80: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.179126 IP 10.12.100.44.64912 > 10.12.19.23.587: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.179129 IP 10.12.100.44.64912 > 10.12.19.23.110: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:25.179343 IP 10.12.100.44.64912 > 10.12.19.23.80: Flags [R], seq 2124068437, win 0, length 0
11:36:25.226775 IP 10.12.100.44.64913 > 10.12.19.23.256: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.226828 IP 10.12.100.44.64913 > 10.12.19.23.139: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.226830 IP 10.12.100.44.64913 > 10.12.19.23.1723: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.226832 IP 10.12.100.44.64913 > 10.12.19.23.443: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.226871 IP 10.12.100.44.64913 > 10.12.19.23.135: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.226874 IP 10.12.100.44.64913 > 10.12.19.23.445: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.229533 IP 10.12.100.44.64913 > 10.12.19.23.110: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.229542 IP 10.12.100.44.64913 > 10.12.19.23.587: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.229544 IP 10.12.100.44.64913 > 10.12.19.23.80: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.229593 IP 10.12.100.44.64913 > 10.12.19.23.5900: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:25.229769 IP 10.12.100.44.64913 > 10.12.19.23.80: Flags [R], seq 2124133974, win 0, length 0
11:36:26.280836 IP 10.12.100.44.64914 > 10.12.19.23.5900: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.280887 IP 10.12.100.44.64914 > 10.12.19.23.587: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.280890 IP 10.12.100.44.64914 > 10.12.19.23.110: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.280891 IP 10.12.100.44.64914 > 10.12.19.23.445: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.280893 IP 10.12.100.44.64914 > 10.12.19.23.135: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.280894 IP 10.12.100.44.64914 > 10.12.19.23.1723: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.280983 IP 10.12.100.44.64914 > 10.12.19.23.139: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.280987 IP 10.12.100.44.64914 > 10.12.19.23.256: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.281002 IP 10.12.100.44.64914 > 10.12.19.23.1025: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.281062 IP 10.12.100.44.64914 > 10.12.19.23.3389: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.331779 IP 10.12.100.44.64914 > 10.12.19.23.995: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.331799 IP 10.12.100.44.64914 > 10.12.19.23.143: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.331801 IP 10.12.100.44.64914 > 10.12.19.23.113: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.331803 IP 10.12.100.44.64914 > 10.12.19.23.8888: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.331842 IP 10.12.100.44.64914 > 10.12.19.23.25: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.331845 IP 10.12.100.44.64914 > 10.12.19.23.554: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.331847 IP 10.12.100.44.64914 > 10.12.19.23.111: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.331848 IP 10.12.100.44.64914 > 10.12.19.23.8080: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.331894 IP 10.12.100.44.64912 > 10.12.19.23.21: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.331898 IP 10.12.100.44.64912 > 10.12.19.23.53: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.382038 IP 10.12.100.44.64912 > 10.12.19.23.199: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.382062 IP 10.12.100.44.64912 > 10.12.19.23.3306: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.382064 IP 10.12.100.44.64912 > 10.12.19.23.22: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.382066 IP 10.12.100.44.64912 > 10.12.19.23.23: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.382067 IP 10.12.100.44.64912 > 10.12.19.23.993: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.382069 IP 10.12.100.44.64912 > 10.12.19.23.1720: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.384368 IP 10.12.100.44.64913 > 10.12.19.23.53: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.384386 IP 10.12.100.44.64913 > 10.12.19.23.21: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.384388 IP 10.12.100.44.64912 > 10.12.19.23.4449: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.384390 IP 10.12.100.44.64912 > 10.12.19.23.2601: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.432484 IP 10.12.100.44.64913 > 10.12.19.23.1720: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.432534 IP 10.12.100.44.64913 > 10.12.19.23.993: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.432536 IP 10.12.100.44.64913 > 10.12.19.23.23: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.432538 IP 10.12.100.44.64913 > 10.12.19.23.22: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.432540 IP 10.12.100.44.64913 > 10.12.19.23.3306: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.432541 IP 10.12.100.44.64913 > 10.12.19.23.199: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.434739 IP 10.12.100.44.64913 > 10.12.19.23.2601: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.434768 IP 10.12.100.44.64913 > 10.12.19.23.4449: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.434770 IP 10.12.100.44.64914 > 10.12.19.23.21: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.434772 IP 10.12.100.44.64914 > 10.12.19.23.53: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.482723 IP 10.12.100.44.64915 > 10.12.19.23.443: Flags [S], seq 2140845908, win 1024, options [mss 1460], length 0
11:36:26.482776 IP 10.12.100.44.64914 > 10.12.19.23.199: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.482791 IP 10.12.100.44.64914 > 10.12.19.23.3306: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.482793 IP 10.12.100.44.64914 > 10.12.19.23.22: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.482795 IP 10.12.100.44.64914 > 10.12.19.23.23: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.482796 IP 10.12.100.44.64914 > 10.12.19.23.993: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.485300 IP 10.12.100.44.64914 > 10.12.19.23.4449: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.485324 IP 10.12.100.44.64914 > 10.12.19.23.2601: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.485326 IP 10.12.100.44.64914 > 10.12.19.23.1720: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.485328 IP 10.12.100.44.64912 > 10.12.19.23.2033: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.535477 IP 10.12.100.44.64913 > 10.12.19.23.2033: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.586261 IP 10.12.100.44.64914 > 10.12.19.23.2033: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.636515 IP 10.12.100.44.64912 > 10.12.19.23.2045: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.689271 IP 10.12.100.44.64913 > 10.12.19.23.2045: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.689296 IP 10.12.100.44.64912 > 10.12.19.23.425: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.689298 IP 10.12.100.44.64912 > 10.12.19.23.1875: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.689300 IP 10.12.100.44.64912 > 10.12.19.23.787: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.689301 IP 10.12.100.44.64912 > 10.12.19.23.4445: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.689371 IP 10.12.100.44.64912 > 10.12.19.23.11967: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.689375 IP 10.12.100.44.64912 > 10.12.19.23.1121: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.739377 IP 10.12.100.44.64913 > 10.12.19.23.787: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.739411 IP 10.12.100.44.64913 > 10.12.19.23.1875: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.739426 IP 10.12.100.44.64913 > 10.12.19.23.425: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.739427 IP 10.12.100.44.64914 > 10.12.19.23.2045: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.741847 IP 10.12.100.44.64913 > 10.12.19.23.1121: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.741869 IP 10.12.100.44.64913 > 10.12.19.23.11967: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.741871 IP 10.12.100.44.64913 > 10.12.19.23.4445: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.789683 IP 10.12.100.44.64914 > 10.12.19.23.425: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.789755 IP 10.12.100.44.64914 > 10.12.19.23.1875: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.789758 IP 10.12.100.44.64914 > 10.12.19.23.787: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.789760 IP 10.12.100.44.64912 > 10.12.19.23.2260: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.792388 IP 10.12.100.44.64914 > 10.12.19.23.4445: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.792397 IP 10.12.100.44.64914 > 10.12.19.23.11967: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.792399 IP 10.12.100.44.64914 > 10.12.19.23.1121: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.840839 IP 10.12.100.44.64913 > 10.12.19.23.2260: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.840860 IP 10.12.100.44.64912 > 10.12.19.23.3690: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.840952 IP 10.12.100.44.64912 > 10.12.19.23.51103: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.841054 IP 10.12.100.44.64912 > 10.12.19.23.9220: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.843625 IP 10.12.100.44.64912 > 10.12.19.23.20828: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
