16:13:34.297605 IP6 fe80::a00:27ff:fea0:484e > ff02::2: ICMP6, router solicitation, length 16
16:13:36.336015 IP 10.12.254.254 > 224.0.0.13: PIMv2, Hello, length 30
16:13:36.391462 IP 10.12.13.5.5353 > 224.0.0.251.5353: 0 PTR (QU)? _googlecast._tcp.local. (40)
16:13:36.391478 IP6 fe80::c88:8696:fbe8:e71a.5353 > ff02::fb.5353: 0 PTR (QU)? _googlecast._tcp.local. (40)
16:13:37.395193 IP 10.12.13.5.5353 > 224.0.0.251.5353: 0 PTR (QM)? _googlecast._tcp.local. (40)
16:13:37.395210 IP6 fe80::c88:8696:fbe8:e71a.5353 > ff02::fb.5353: 0 PTR (QM)? _googlecast._tcp.local. (40)
16:13:37.970886 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:13:39.516506 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:13:39.516535 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:13:39.717399 ARP, Request who-has 10.12.19.23 tell 10.12.100.171, length 46
16:13:39.717413 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:13:39.717582 IP 10.12.100.171.47554 > 10.12.19.23.587: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717597 IP 10.12.100.171.47554 > 10.12.19.23.139: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717599 IP 10.12.100.171.47554 > 10.12.19.23.80: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717631 IP 10.12.19.23.80 > 10.12.100.171.47554: Flags [S.], seq 3810897094, ack 2535653929, win 29200, options [mss 1460], length 0
16:13:39.717642 IP 10.12.100.171.47554 > 10.12.19.23.22: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717658 IP 10.12.100.171.47554 > 10.12.19.23.113: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717660 IP 10.12.100.171.47554 > 10.12.19.23.5900: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717661 IP 10.12.100.171.47554 > 10.12.19.23.995: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717662 IP 10.12.100.171.47554 > 10.12.19.23.443: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717683 IP 10.12.19.23.443 > 10.12.100.171.47554: Flags [R.], seq 0, ack 2535653929, win 0, length 0
16:13:39.717688 IP 10.12.100.171.47554 > 10.12.19.23.21: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717690 IP 10.12.100.171.47554 > 10.12.19.23.53: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:39.717828 IP 10.12.100.171.47554 > 10.12.19.23.80: Flags [R], seq 2535653929, win 0, length 0
